TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-730,2.0.0-M1,2.0.0-M2,2.0.0-M1
SYNCOPE-850,2.0.0-M3,2.0.0-M3,2.0.0-M3
SYNCOPE-849,2.0.0-M3,2.0.0-M3,2.0.0-M3
SYNCOPE-847,2.0.0-M3,2.0.0-M3,2.0.0-M3,stimato
SYNCOPE-846,2.0.0-M3,2.0.0-M3,2.0.0-M3,stimato
SYNCOPE-844,2.0.0-M3,2.0.0-M3,2.0.0-M3,stimato
SYNCOPE-839,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-837,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-836,2.0.0-M3,2.0.0-M3,2.0.0-M3
SYNCOPE-825,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-823,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-817,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-814,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-813,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-812,2.0.0-M3,2.0.0-M3,2.0.0-M1
SYNCOPE-811,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-801,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-800,2.0.0-M3,2.0.0-M3,1.2.7
SYNCOPE-799,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-798,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-793,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-792,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-783,2.0.0-M3,2.0.0-M3,2.0.0-M2
SYNCOPE-781,2.0.0-M2,2.0.0-M3,2.0.0-M2
SYNCOPE-780,2.0.0-M2,2.0.0-M3,2.0.0-M2
SYNCOPE-737,2.0.0-M1,2.0.0-M3,2.0.0-M1
SYNCOPE-876,2.0.0-M4,2.0.0-M4,2.0.0-M4,stimato
SYNCOPE-875,2.0.0-M4,2.0.0-M4,2.0.0-M3
SYNCOPE-869,2.0.0-M4,2.0.0-M4,2.0.0-M3
SYNCOPE-868,2.0.0-M4,2.0.0-M4,2.0.0-M3
SYNCOPE-867,2.0.0-M4,2.0.0-M4,2.0.0-M3
SYNCOPE-865,2.0.0-M3,2.0.0-M4,2.0.0-M3
SYNCOPE-863,2.0.0-M3,2.0.0-M4,2.0.0-M2
SYNCOPE-845,2.0.0-M3,2.0.0-M4,2.0.0-M2,stimato
SYNCOPE-928,2.0.0.M5,2.0.0.M5,1.1.8
SYNCOPE-927,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-923,2.0.0.M5,2.0.0.M5,2.0.0.M5,stimato
SYNCOPE-921,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-918,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-916,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-915,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-912,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-911,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-908,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-907,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-905,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-901,2.0.0.M5,2.0.0.M5,2.0.0-M2
SYNCOPE-900,2.0.0.M5,2.0.0.M5,2.0.0.M5,stimato
SYNCOPE-899,2.0.0.M5,2.0.0.M5,2.0.0.M5,stimato
SYNCOPE-898,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-893,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-892,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-891,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-888,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-887,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-886,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-884,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-883,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-881,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-879,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-878,2.0.0.M5,2.0.0.M5,2.0.0-M4
SYNCOPE-872,2.0.0-M4,2.0.0.M5,2.0.0-M3,stimato
SYNCOPE-936,2.0.0,2.0.0,2.0.0,stimato
SYNCOPE-935,2.0.0,2.0.0,2.0.0.M5
SYNCOPE-934,2.0.0,2.0.0,2.0.0.M5
SYNCOPE-933,2.0.0,2.0.0,2.0.0.M5
SYNCOPE-931,2.0.0,2.0.0,2.0.0.M5
SYNCOPE-930,2.0.0,2.0.0,2.0.0-M4
SYNCOPE-929,2.0.0,2.0.0,2.0.0,stimato
SYNCOPE-738,2.0.0-M1,2.0.0,2.0.0-M1
SYNCOPE-973,1.2.10,1.2.9,1.2.9
SYNCOPE-953,1.2.9,1.2.9,2.0.0
SYNCOPE-950,1.2.9,1.2.9,1.2.9
SYNCOPE-947,1.2.9,1.2.9,2.0.0
SYNCOPE-946,1.2.9,1.2.9,2.0.0
SYNCOPE-944,1.2.9,1.2.9,2.0.0
SYNCOPE-942,1.2.9,1.2.9,2.0.0
SYNCOPE-940,1.2.9,1.2.9,2.0.0
