TicketID,OpeningVersion,FixedVersion,InjectedVersion
BOOKKEEPER-952,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-940,4.5.0,4.5.0,4.5.0
BOOKKEEPER-939,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-938,4.5.0,4.5.0,4.5.0
BOOKKEEPER-933,4.5.0,4.5.0,4.5.0,stimato
BOOKKEEPER-927,4.4.0,4.5.0,4.3.2
BOOKKEEPER-924,4.4.0,4.5.0,4.3.2
BOOKKEEPER-908,4.4.0,4.5.0,4.3.2
BOOKKEEPER-907,4.4.0,4.5.0,4.3.2,stimato
BOOKKEEPER-903,4.4.0,4.5.0,4.3.2,stimato
BOOKKEEPER-852,4.3.1,4.5.0,4.3.0
BOOKKEEPER-1105,4.5.0,4.5.1,4.5.0
